"election","type","tract","block","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g22","voters","253108","3010","43","24","8","2","1","0","0","0","0","0","8","21","22","12","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","3","2","0","0","6","3","0","2","2","0","0","0","0","0","2","2","0","0","1","0","0","2","1","0","1","0","0","1","1","2","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","8","7","2","2","0","0","1","0","4","2","0","0","1","0","0","1","1","3","1","3","0","0","0","0","0","1","3","1","1","0","0","0","0","0","0","1"
"g22","voters","253108","3013","5","0","5","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","253108","3016","28","14","10","0","0","0","0","0","0","0","4","14","14","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","1","0","2","1","0","1","3","2","0","1","1","0","0","2","1","0","0","1","0","1","1","2","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","2","0","0","0","0","0","4","5","2","1","0","0","0","0","0","2","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","253201","1000","36","5","13","2","0","0","2","0","0","0","14","16","20","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","2","4","0","0","0","0","1","3","3","0","1","0","0","0","1","4","0","1","1","0","2","1","3","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","3","2","3","1","2","1","1","0","0","3","3","3","4","0","1","1","0","0","2","3","1","0","0","0","0","0","0","0"
"g22","voters","253201","1001","108","45","45","6","0","0","1","0","1","0","10","51","57","5","3","1","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","4","0","0","4","5","7","0","1","0","2","3","8","11","0","1","0","5","2","4","9","0","0","1","4","4","5","10","0","0","0","0","3","1","1","0","0","0","4","0","0","1","0","1","0","0","2","2","0","0","0","1","0","0","1","1","12","15","7","0","2","0","0","1","8","13","17","2","2","0","1","1","0","9","3","3","2","2","0","0","0","0","0","3","4","0","0","0","1","0","0","0"
"g22","voters","253201","1002","18","8","6","1","0","1","0","0","0","0","2","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","1","0","0","2","0","0","0","0","0","3","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","6","0","1","0","0","0","0","1","0","4","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0"
"g22","voters","253201","1003","3","0","3","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","253201","1004","16","2","9","0","1","1","0","0","0","0","3","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","2","0","1","2","0","0","0","0","1","1","2","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","8","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"g22","voters","253201","1005","224","89","85","12","1","0","3","0","1","0","33","107","117","13","5","2","0","4","3","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","2","2","4","8","6","13","0","3","4","7","7","9","24","0","2","0","5","8","14","20","0","0","2","6","5","10","13","0","3","1","1","4","0","6","0","1","2","3","5","4","3","0","1","0","1","3","2","1","0","0","1","1","4","2","1","26","31","6","4","2","0","0","4","16","19","29","9","3","1","1","0","2","21","10","4","9","3","0","0","0","1","6","5","5","3","1","0","1","0","0","2"
"g22","voters","253201","1006","28","11","14","1","0","0","0","0","0","0","2","14","14","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","1","2","2","2","0","0","1","1","3","1","1","0","0","1","1","1","2","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","3","2","0","0","0","0","0","5","7","7","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
