,Total voting-age population,Census tract,Voters in 2022,Voting-age residents who voted in 2022 (%),American Indian or Alaska Native (%),Asian (%),Black (%),Native Hawaiian or other Pacific Islander (%),White (%),Hispanic or Latino (%),Mixed race (%),Place,Below poverty level (%)
505,1615,06085502104,543,33.6,0.0,18.9,2.5,3.7,45.4,27.9,1.5,"San Jose, Santa Clara County",5.3
506,2504,06085502103,812,32.4,0.0,12.6,13.3,0.0,45.4,26.0,3.0,"San Jose, Buena Vista, Santa Clara County",18.0
507,3882,06085504424,1618,41.7,0.0,67.6,2.5,0.3,12.3,15.8,1.8,"Milpitas, Santa Clara County",4.6
508,2336,06085505015,689,29.5,0.0,21.6,1.1,3.5,34.7,37.4,1.9,"North San Jose, San Jose, Santa Clara County",1.6
509,981,06085505012,219,22.3,0.0,22.4,8.3,0.0,57.1,10.7,1.5,"North San Jose, San Jose, Santa Clara County",2.2
510,3014,06085505014,906,30.1,0.0,38.8,5.1,0.0,28.9,24.0,3.2,"North San Jose, San Jose, Santa Clara County",5.5
511,2625,06085505010,1142,43.5,1.0,46.5,15.3,0.0,24.0,10.0,3.1,"Santa Clara, Santa Clara County",9.2
512,1846,06085501901,788,42.7,0.2,28.4,7.7,0.2,39.4,21.8,2.4,"San Jose, Buena Vista, Santa Clara County",7.6
513,2521,06085511502,1276,50.6,0.2,11.7,4.0,0.0,73.2,8.1,3.0,"Rains Houses, Santa Clara County",1.8
514,2029,06085504903,846,41.7,0.0,46.8,0.0,0.0,26.7,23.8,2.5,"Santa Clara, Santa Clara County",3.8
515,1159,06085504808,265,22.9,0.0,28.9,7.3,0.0,24.6,38.7,0.3,"Sunnyvale, Santa Clara County",3.6
516,3183,06085511501,1972,62.0,0.0,30.8,3.0,0.0,55.0,6.9,3.8,"Palo Alto, Santa Clara County",6.3
517,2862,06085512057,948,33.1,0.0,25.3,1.5,0.0,35.2,37.8,0.0,"San Jose, Santa Clara County",8.9
518,4559,06085512059,2056,45.1,0.0,23.1,1.7,0.0,48.4,20.2,6.6,"San Jose, Santa Clara County",2.5
519,2598,06085503338,1424,54.8,0.0,66.2,0.0,0.0,26.2,6.6,1.0,"San Jose, Silver Creek, Santa Clara County",0.4
520,2230,06085504807,1188,53.3,0.0,53.6,4.3,0.0,29.2,10.2,2.6,"Sunnyvale, Santa Clara County",4.5
521,2069,06085512056,905,43.7,0.0,27.2,2.4,0.0,33.4,32.1,4.8,"San Jose, Santa Clara County",6.5
522,1346,06085503219,536,39.8,0.0,47.5,10.8,0.0,3.1,38.7,0.1,"San Jose, Seven Trees, Santa Clara County",6.1
523,3431,06085503222,729,21.2,0.0,48.2,0.0,1.0,1.3,48.0,1.5,"San Jose, Santa Clara County",5.1
524,2180,06085509111,1204,55.2,0.0,39.7,0.4,0.0,43.2,12.9,3.7,"Mountain View, Santa Clara County",8.4
525,2708,06085507705,1672,61.7,0.0,49.1,0.5,0.1,39.2,8.2,2.4,"Cupertino, Santa Clara County",6.2
526,1891,06085507704,1211,64.0,0.0,50.0,0.3,1.1,46.9,2.0,0.1,"Cupertino, Santa Clara County",4.1
527,2799,06085512058,842,30.1,0.0,40.4,4.0,0.0,23.6,29.2,2.9,"San Jose, Santa Clara County",7.0
528,2620,06085501601,771,29.4,0.0,17.2,1.9,0.0,37.4,40.3,3.1,"San Jose, Luna Park, Santa Clara County",21.5
529,2096,06085508205,904,43.1,0.0,31.8,6.5,0.2,38.5,17.3,5.7,"Sunnyvale, Santa Clara County",3.2
530,1672,06085508510,620,37.1,0.0,56.2,0.0,0.0,17.7,22.7,3.7,"Sunnyvale, Santa Clara County",9.1
531,2466,06085508206,1606,65.1,0.0,46.9,0.0,0.0,48.7,2.5,2.3,"Sunnyvale, Santa Clara County",2.8
532,2381,06085512513,750,31.5,0.0,7.1,0.0,0.0,16.5,74.8,1.5,"Lonoke, Gilroy, Santa Clara County",1.0
533,1904,06085512512,890,46.7,0.0,12.9,0.0,0.0,38.6,47.7,0.8,"Gilroy, Santa Clara County",10.9
534,1736,06085512514,721,41.5,0.8,5.5,7.3,0.0,16.4,64.6,6.3,"Lonoke, Gilroy, Santa Clara County",7.4
535,3081,06085512516,1671,54.2,0.0,12.8,0.5,1.3,42.7,41.5,1.0,"Gilroy, Santa Clara County",9.0
536,2165,06085508305,706,32.6,0.0,38.6,7.8,0.0,26.1,25.3,2.2,"Sunnyvale, Santa Clara County",11.6
537,1728,06085504509,629,36.4,0.0,68.9,7.3,0.0,11.0,3.5,9.0,"Milpitas, Santa Clara County",2.3
538,1854,06085508306,1153,62.2,0.1,49.1,4.0,0.0,37.1,7.2,2.2,"Sunnyvale, Santa Clara County",3.4
539,2674,06085502704,1430,53.5,0.0,28.0,7.4,0.0,49.0,7.3,8.3,"San Jose, Santa Clara County",3.2
540,2528,06085501602,376,14.9,2.0,10.7,6.6,0.0,28.9,45.1,7.3,"San Jose, Santa Clara County",36.2
541,2271,06085506505,825,36.3,0.0,22.7,5.9,0.0,44.5,26.0,1.0,"San Jose, Santa Clara County",11.9
542,1993,06085504510,613,30.8,0.0,84.8,0.1,0.0,6.8,7.8,0.6,"Milpitas, Santa Clara County",4.0
543,1457,06085508708,788,54.1,0.0,30.9,5.2,0.0,47.4,14.0,2.5,"Sunnyvale, Santa Clara County",8.3
544,2352,06085505902,1180,50.2,0.0,18.5,2.0,0.0,57.1,19.9,2.7,"Santa Clara, Santa Clara County",5.1
545,2913,06085503127,1522,52.2,0.0,45.0,5.7,0.9,32.1,10.8,5.1,"San Jose, Santa Clara County",4.1
546,2072,06085503126,903,43.6,0.0,45.6,5.2,0.0,23.4,24.5,1.2,"San Jose, Santa Clara County",8.5
547,3288,06085503124,791,24.1,0.0,35.1,9.3,0.3,22.0,29.1,4.0,"San Jose, Santa Clara County",15.2
548,2377,06085503125,1097,46.2,1.3,31.8,3.6,0.0,46.7,15.8,0.8,"San Jose, Santa Clara County",4.0
549,2495,06085512055,753,30.2,0.0,50.7,8.2,0.0,18.2,22.7,0.4,"San Jose, Santa Clara County",5.6
550,2049,06085509002,877,42.8,0.5,22.7,0.7,0.0,21.0,52.9,2.2,"Sunnyvale, Santa Clara County",8.6
551,1498,06085509001,767,51.2,0.0,29.7,0.7,0.0,20.8,45.1,3.6,"Sunnyvale, Santa Clara County",4.3
552,5327,06001428301,2771,52.0,0.4,54.8,3.9,1.0,31.1,6.6,2.2,"Alameda, Alameda County",1.5
553,5323,06001428302,3659,68.7,0.0,40.5,1.3,0.0,46.8,4.2,7.2,"Alameda, Alameda County",3.5
554,3369,06001428400,1581,46.9,1.0,27.0,7.6,2.1,45.6,13.0,3.7,"Alameda, Alameda County",15.0
555,3364,06001430900,1046,31.1,1.5,23.6,7.8,0.7,36.2,24.8,5.4,"Castro Valley, Alameda County",15.4
556,1645,06055201102,900,54.7,0.9,5.5,2.1,0.0,82.9,8.3,0.5,Napa County,11.6
557,3068,06075013300,2117,69.0,0.0,14.7,1.0,0.0,71.7,9.8,2.6,San Francisco,6.2
558,2608,06075022803,1508,57.8,0.0,19.9,4.8,0.0,47.4,25.2,2.9,"San Francisco, Mission District",14.9
559,2733,06075047702,1539,56.3,0.0,46.3,0.5,0.0,46.1,3.5,3.7,"San Francisco, Richmond District",9.2
560,3597,06075035202,1630,45.3,0.8,40.3,3.0,1.8,39.1,11.3,3.7,"San Francisco, Sunset District",3.9
561,2932,06001432100,1786,60.9,0.1,12.3,28.0,1.2,35.8,17.1,5.3,"San Leandro, Alameda County",4.7
562,2848,06001430300,1854,65.1,0.1,25.8,0.4,0.0,57.4,13.7,2.8,"Castro Valley, Alameda County",3.6
563,1536,06099003803,372,24.2,0.0,4.6,4.4,0.0,23.1,66.6,0.5,"Turlock, Stanislaus County",20.2
564,2512,06075025403,1391,55.4,0.6,29.7,11.5,0.0,30.9,25.5,2.0,San Francisco,7.2
565,1534,06075022702,1119,72.9,0.0,17.6,2.1,0.0,61.7,11.7,7.4,San Francisco,9.4
566,2140,06001431000,763,35.7,1.1,27.6,16.4,0.0,32.9,15.1,7.0,"Castro Valley, Alameda County",13.4
567,2818,06085503325,1176,41.7,0.7,58.1,1.4,0.0,10.1,28.6,0.9,"San Jose, Evergreen, Santa Clara County",7.1
568,2830,06085503602,712,25.2,0.0,29.8,3.5,0.0,9.5,57.1,0.0,"San Jose, Little Portugal, Santa Clara County",9.6
569,1734,06085503703,596,34.4,0.0,32.3,8.5,0.0,0.3,58.2,0.7,"San Jose, Santa Clara County",9.1
570,2564,06085503712,594,23.2,0.0,45.5,1.7,0.2,12.5,38.5,1.4,"San Jose, Little Portugal, Santa Clara County",22.1
571,2019,06001428000,961,47.6,0.9,25.6,13.7,0.0,43.1,9.2,7.7,"Alameda, Alameda County",6.6
572,2353,06001428500,1197,50.9,0.4,22.7,10.3,0.2,47.6,15.9,2.9,"Alameda, Alameda County",4.5
573,2461,06001428600,1257,51.1,1.4,33.5,6.1,0.0,49.2,7.9,1.6,"Alameda, Alameda County",5.3
574,1647,06001430400,977,59.3,0.0,33.5,4.6,0.0,50.8,5.8,5.6,"Castro Valley, Alameda County",2.5
575,2599,06001430700,1616,62.2,0.0,26.4,5.0,0.0,51.4,12.9,4.3,"Castro Valley, Alameda County",7.0
576,2570,06099001002,901,35.1,1.9,1.2,5.5,0.0,62.6,24.6,4.3,"Modesto, Stanislaus County",19.3
577,2731,06099002602,798,29.2,0.0,1.8,2.3,0.0,46.3,45.7,3.6,"Ceres, Stanislaus County",25.0
578,2499,06099002604,510,20.4,0.0,4.8,4.3,4.2,20.8,65.2,0.7,"Ceres, Stanislaus County",21.3
579,2937,06099002605,850,28.9,3.7,0.5,0.0,0.0,45.0,49.1,1.7,"Ceres, Stanislaus County",17.3
580,2819,06099002701,1070,38.0,1.2,5.0,0.7,0.0,39.6,50.2,2.9,"Ceres, Stanislaus County",5.7
581,3145,06099003904,1147,36.5,0.0,3.6,0.9,0.0,53.1,40.1,2.4,"Turlock, Stanislaus County",13.2
582,3069,06099001200,1153,37.6,1.3,3.6,1.0,0.0,63.4,29.0,1.3,"Modesto, Stanislaus County",15.9
583,4456,06099001500,1296,29.1,1.9,6.3,3.1,0.0,29.6,55.4,3.7,Stanislaus County,14.6
584,2277,06099001601,438,19.2,1.3,8.2,6.3,0.0,17.7,65.5,0.9,"Modesto, Stanislaus County",23.6
585,3117,06099001603,578,18.5,0.5,14.4,8.6,5.1,28.7,38.9,3.5,"Modesto, Stanislaus County",23.5
586,1438,06099001700,208,14.5,0.0,12.2,12.2,0.0,17.0,53.7,4.9,"Modesto, Stanislaus County",25.5
587,4010,06099001300,2413,60.2,0.0,1.5,1.0,0.5,71.8,24.9,0.6,"Aurora, Modesto, Stanislaus County",10.6
588,4954,06099001400,1396,28.2,0.2,3.2,6.3,0.6,50.3,38.5,0.8,"Modesto, Stanislaus County",13.9
589,1548,06099001800,402,26.0,1.2,1.2,11.9,1.9,45.2,34.8,3.9,"Modesto, Stanislaus County",42.6
590,3583,06099001900,1737,48.5,0.0,3.5,1.7,0.0,61.8,31.5,1.4,"Modesto, Stanislaus County",9.6
591,3135,06099002002,699,22.3,1.1,0.0,0.4,0.0,46.4,47.7,4.5,"Modesto, Stanislaus County",24.2
592,3451,06099002702,1156,33.5,0.0,6.1,2.4,0.0,33.4,56.9,1.0,"Ceres, Stanislaus County",18.1
593,4310,06099002802,1791,41.6,0.0,1.3,0.1,0.0,61.3,36.8,0.7,Stanislaus County,15.2
594,5484,06099003907,3064,55.9,0.4,3.0,0.3,0.0,72.4,21.0,2.9,"Turlock, Stanislaus County",12.0
595,3262,06099000506,1232,37.8,0.1,1.8,1.6,3.7,56.1,35.0,1.5,"Modesto, Stanislaus County",11.9
596,4218,06099003909,1749,41.5,0.2,3.6,1.0,0.0,55.8,32.2,7.4,"Turlock, Stanislaus County",11.3
597,3373,06099003905,1863,55.2,0.0,2.2,0.0,0.3,74.2,19.2,4.3,"Turlock, Stanislaus County",4.5
598,3401,06099003906,701,20.6,0.3,1.2,5.7,0.1,53.5,35.5,3.7,"Turlock, Stanislaus County",26.6
599,3721,06075025200,2561,68.8,0.0,16.1,1.2,0.0,62.0,17.0,3.5,San Francisco,11.3
600,3404,06075025300,2007,59.0,0.3,15.0,1.4,0.0,41.0,35.3,7.2,San Francisco,6.2
601,2574,06075025402,1340,52.1,0.0,14.2,10.8,0.0,33.0,38.3,3.9,San Francisco,4.6
602,3580,06075025600,1653,46.2,0.0,63.4,0.9,0.1,16.8,17.9,0.5,San Francisco,3.4
603,3860,06099002004,1079,28.0,0.1,3.1,6.8,1.0,42.3,45.4,1.2,"Modesto, Stanislaus County",7.2
604,1702,06099002100,243,14.3,0.4,3.5,3.6,0.0,44.6,40.7,7.1,"Riverside, Stanislaus County",39.4
605,1547,06075025800,396,25.6,0.0,69.8,12.0,0.0,11.6,3.6,2.6,"San Francisco, Bayview District",7.8
606,3320,06075061000,1236,37.2,0.0,53.6,18.3,0.0,13.9,13.4,0.9,San Francisco,6.5
607,2316,06013304006,1412,61.0,0.0,6.7,5.9,0.0,67.0,17.8,2.8,"Werner, Contra Costa County",2.2
608,3889,06001422700,503,12.9,1.5,26.2,5.3,0.0,40.7,18.5,7.8,"Berkeley, Alameda County",51.1
609,2471,06085503401,804,32.5,0.0,21.0,1.7,0.0,2.6,74.4,0.2,"San Jose, Santa Clara County",11.2
610,1723,06013314106,408,23.7,1.7,16.8,15.0,0.1,20.7,40.5,5.8,"Bay Point, Contra Costa County",19.5
611,2929,06013355120,1142,39.0,0.0,13.8,30.1,0.0,34.5,18.8,2.6,"Antioch, Contra Costa County",20.2
612,2073,06099002803,1049,50.6,0.0,2.7,8.4,0.7,64.3,18.6,5.5,"Modesto, Stanislaus County",6.8
613,3181,06075025900,1380,43.4,0.0,41.5,6.0,0.0,27.2,24.2,1.1,San Francisco,8.0
614,2894,06075026002,1075,37.1,0.0,35.1,3.5,0.0,33.0,26.7,1.5,San Francisco,8.2
615,2660,06075026004,1029,38.7,0.0,44.6,0.6,3.0,20.4,27.3,4.1,San Francisco,7.8
616,2326,06075020500,1532,65.9,0.2,10.3,4.6,0.0,72.2,9.2,2.7,San Francisco,3.3
617,1994,06085503708,639,32.0,0.0,78.0,0.3,0.0,4.5,16.1,1.0,"San Jose, Santa Clara County",10.9
618,2994,06013392202,1217,40.6,0.1,11.8,7.9,0.0,40.3,39.7,0.1,"Bayview, Contra Costa County",4.2
619,3243,06013392201,1128,34.8,0.3,51.3,14.6,0.0,10.6,19.9,3.2,"Giant, Richmond, Contra Costa County",14.3
620,3312,06013303210,2319,70.0,0.0,7.7,2.6,0.0,83.1,6.1,0.5,"Brentwood, Contra Costa County",3.0
621,3979,06013355121,2337,58.7,0.0,57.6,7.3,0.0,29.9,3.8,1.7,"San Ramon, Contra Costa County",1.0
622,2897,06013355124,1345,46.4,0.3,87.0,0.0,0.0,9.3,1.6,1.9,"San Ramon, Dougherty Valley, Contra Costa County",2.4
623,3514,06013345205,1772,50.4,0.0,22.9,3.5,0.3,62.3,6.7,4.4,"Danville, Contra Costa County",5.3
624,3358,06013355126,1772,52.8,0.0,63.6,4.5,0.0,24.8,6.0,1.0,"San Ramon, Contra Costa County",4.6
625,3251,06001422500,958,29.5,0.0,21.2,5.2,0.0,49.8,16.1,7.7,"Berkeley, Alameda County",27.2
626,3648,06001423000,2068,56.7,0.0,18.4,9.0,0.0,61.4,6.6,4.2,"Berkeley, Alameda County",10.6
627,3197,06001423100,1787,55.9,0.0,13.1,25.1,1.1,46.9,9.1,5.0,"Berkeley, Alameda County",17.1
628,2021,06001424002,869,43.0,0.2,10.6,34.9,0.0,38.3,14.3,1.8,"Berkeley, Alameda County",7.5
629,3225,06075030202,1982,61.5,0.0,33.3,2.5,0.0,51.4,10.4,2.5,San Francisco,4.2
630,4244,06075026001,1315,31.0,0.0,62.0,1.0,0.0,14.5,22.0,0.7,San Francisco,12.0
631,3346,06075026003,1328,39.7,0.0,48.9,0.2,0.0,16.3,32.9,1.5,San Francisco,8.4
632,1512,06075026404,562,37.2,0.0,58.9,16.4,0.1,4.6,13.7,6.0,San Francisco,12.3
633,3487,06001426200,2800,80.3,0.0,20.5,1.6,0.3,69.4,5.6,2.4,"Piedmont, Alameda County",6.5
634,2944,06001427100,1997,67.8,0.1,18.3,1.7,0.0,69.0,9.7,0.6,"Alameda, Alameda County",1.7
635,3098,06001427200,1488,48.0,0.1,36.8,4.1,0.8,40.5,13.4,4.3,"Alameda, Alameda County",6.9
636,3348,06013302011,1583,47.3,0.0,13.4,24.8,0.0,31.1,27.0,3.6,Contra Costa County,8.4
637,2691,06013340003,1843,68.5,0.0,14.9,1.3,0.0,68.0,11.6,4.3,"Walnut Creek, Contra Costa County",12.7
638,3169,06013355307,2114,66.7,0.0,12.8,1.5,0.0,57.5,14.9,13.4,"Clayton, Contra Costa County",1.6
639,5340,06013313106,1406,26.3,0.0,12.4,7.4,3.1,43.2,32.6,1.2,Contra Costa County,5.8
640,3835,06013355119,1264,33.0,0.0,17.8,24.6,1.6,27.1,23.3,5.8,"Antioch, Contra Costa County",14.4
641,3466,06013303206,1433,41.3,0.0,15.9,18.9,1.7,56.4,5.9,1.3,"Brentwood, Contra Costa County",7.5
642,5236,06013303106,2094,40.0,0.2,12.5,5.1,0.0,41.1,35.8,5.1,"Knightsen, Contra Costa County",10.3
643,5732,06013303207,1880,32.8,0.2,16.1,30.1,0.0,26.6,20.0,7.2,"Antioch, Contra Costa County",4.4
644,5464,06013302014,2502,45.8,0.0,9.3,2.2,0.0,56.4,26.9,5.3,"Oakley, Contra Costa County",1.4
645,3861,06013303104,2188,56.7,0.0,19.6,4.7,0.0,52.9,19.2,3.7,"Brentwood, Contra Costa County",4.3
646,4404,06075016500,2345,53.2,0.0,8.5,8.8,0.0,66.8,12.8,3.1,San Francisco,14.4
647,2361,06075025401,1357,57.5,0.0,5.9,3.6,0.0,57.8,24.7,8.3,San Francisco,2.0
648,1942,06075060502,381,19.6,0.0,41.5,21.9,6.3,6.9,20.3,2.8,San Francisco,29.0
649,3600,06075045100,1908,53.0,0.6,26.4,0.9,0.0,59.8,7.9,4.3,"San Francisco, Richmond District",6.3
650,1892,06075015300,988,52.2,0.0,8.7,9.8,0.0,65.5,13.0,2.9,"San Francisco, Western Addition",8.8
651,2792,06075018000,1061,38.0,1.6,19.7,10.9,1.1,36.2,24.9,5.5,"San Francisco, South of Market",20.3
652,2116,06075013500,1247,58.9,0.9,11.3,0.5,0.0,72.1,11.8,2.8,San Francisco,4.4
653,2423,06075023103,526,21.7,0.0,7.9,59.6,13.0,0.0,16.6,2.9,San Francisco,32.2
654,3619,06075022801,1801,49.8,0.0,12.7,19.4,0.8,46.3,17.5,3.3,"San Francisco, Mission District",11.3
655,2605,06001423300,1785,68.5,0.2,4.8,27.2,0.0,47.6,12.5,7.9,"Berkeley, Alameda County",18.9
656,3468,06085503709,1131,32.6,1.3,66.4,3.5,0.0,9.0,17.5,2.5,"San Jose, Little Portugal, Santa Clara County",26.9
657,2313,06085503217,678,29.3,0.0,39.0,0.7,1.7,2.9,53.9,1.9,"San Jose, Santa Clara County",2.9
658,2287,06085503402,578,25.3,0.0,31.1,1.2,0.0,5.1,58.8,3.9,"San Jose, Santa Clara County",22.0
659,1102,06085503507,310,28.1,0.0,42.2,0.0,0.0,0.4,55.9,1.5,"San Jose, Santa Clara County",8.0
660,3209,06085508004,1763,54.9,0.0,57.7,9.3,0.0,27.6,3.6,2.0,"Cupertino, Santa Clara County",3.4
661,3849,06001427300,2093,54.4,0.9,38.1,14.0,1.4,34.7,7.8,3.2,"Alameda, Alameda County",10.4
662,1487,06077000300,283,19.0,0.0,9.8,28.8,0.0,21.0,35.6,5.0,"Stockton, San Joaquin County",44.6
663,2012,06077000401,903,44.9,2.2,1.5,14.5,0.0,41.9,37.3,2.5,"Stockton, San Joaquin County",21.0
664,2761,06077000402,568,20.6,0.1,8.3,32.6,0.0,25.4,32.6,0.9,"Stockton, San Joaquin County",30.2
665,1016,06077000500,198,19.5,1.0,18.6,3.8,1.5,18.6,56.3,0.8,"Stockton, San Joaquin County",27.1
666,1059,06077000600,125,11.8,0.1,11.3,18.3,0.9,4.9,62.7,1.1,"Mormon, Stockton, San Joaquin County",35.6
667,4019,06085504411,1438,35.8,2.7,61.0,0.8,0.0,21.5,13.8,0.4,"San Jose, Santa Clara County",7.5
668,2533,06077000700,390,15.4,0.4,13.4,15.0,0.0,13.3,56.4,1.3,"The Homestead, Stockton, San Joaquin County",39.2
669,3364,06077000900,1071,31.8,2.2,18.6,6.4,0.0,28.7,43.5,0.8,"Stockton, San Joaquin County",14.7
670,3048,06085503322,1113,36.5,0.0,57.7,2.8,0.0,14.6,23.8,1.0,"San Jose, Santa Clara County",9.6
671,3363,06075010300,1572,46.7,0.0,21.6,0.1,0.0,66.2,10.1,2.1,San Francisco,7.7
672,2118,06075010500,1130,53.4,0.0,33.8,1.0,0.0,61.9,1.5,2.1,San Francisco,6.2
673,2491,06075010600,936,37.6,0.0,42.4,3.9,0.0,38.4,8.5,6.2,San Francisco,13.5
674,4028,06075010800,1579,39.2,0.0,30.0,8.5,0.0,51.9,5.0,4.5,San Francisco,11.1
675,2359,06075011200,1326,56.2,0.0,29.9,3.3,0.0,57.4,4.7,4.9,"San Francisco, South of Market",9.5
676,2019,06075011300,719,35.6,0.0,75.0,1.6,0.0,16.8,4.7,1.7,San Francisco,31.2
677,1403,06075011700,453,32.3,0.0,30.6,4.3,0.0,46.8,12.1,6.7,"San Francisco, South of Market",20.0
678,1091,06075011800,226,20.7,0.0,81.1,3.3,0.0,9.2,3.7,2.7,"San Francisco, South of Market",30.1
679,3475,06085503508,944,27.2,0.0,20.6,2.2,2.0,8.4,63.1,3.8,"San Jose, Alum Rock, Santa Clara County",8.1
680,3256,06085503804,1279,39.3,0.0,53.6,4.3,3.2,16.0,22.4,0.8,"San Jose, Berryessa, Santa Clara County",7.7
681,3024,06085503212,1091,36.1,0.0,75.1,3.1,2.6,6.7,10.9,1.5,"San Jose, Santa Clara County",5.2
682,3167,06085503213,870,27.5,0.5,64.3,1.4,0.0,6.0,27.6,0.8,"San Jose, Santa Clara County",10.7
683,3038,06085504001,946,31.1,0.0,28.8,0.5,0.1,11.2,57.4,2.3,"San Jose, Alum Rock, Santa Clara County",10.5
684,4059,06085504002,836,20.6,0.0,54.1,0.1,0.0,5.8,38.7,1.3,"San Jose, Alum Rock, Santa Clara County",9.6
685,2668,06085504101,826,31.0,0.6,21.6,0.0,0.6,16.6,57.3,3.2,"San Jose, Alum Rock, Santa Clara County",8.1
686,2214,06085503218,509,23.0,0.0,25.6,2.8,0.7,8.2,62.8,0.0,"San Jose, Santa Clara County",11.8
687,3929,06085503304,1249,31.8,0.1,56.3,2.7,0.3,8.6,30.8,1.6,"San Jose, Santa Clara County",12.4
688,4007,06077001000,1428,35.6,0.0,4.2,9.7,0.0,43.5,40.3,2.1,"Country Club, Stockton, San Joaquin County",13.7
689,3817,06077001101,1117,29.3,0.0,4.0,14.5,0.0,38.2,38.8,4.7,"Stockton, San Joaquin County",12.7
690,3615,06077001102,955,26.4,0.0,8.0,6.5,0.0,42.3,39.0,4.1,"Stockton, San Joaquin County",13.7
691,5098,06077001200,1670,32.8,0.0,12.2,2.6,0.0,59.4,22.3,3.6,"Stockton, San Joaquin County",4.8
692,3543,06085503305,1298,36.6,0.0,60.0,2.4,0.0,3.0,34.5,0.1,"San Jose, Santa Clara County",16.5
693,2426,06085503306,720,29.7,0.2,50.6,0.3,0.0,3.5,44.6,0.7,"San Jose, Santa Clara County",6.9
694,3713,06077001300,1219,32.8,0.0,6.8,9.6,0.1,34.0,48.1,1.3,"Stockton, San Joaquin County",10.0
695,3292,06077001400,1014,30.8,0.1,15.1,2.8,0.1,43.4,34.0,4.2,"Stockton, San Joaquin County",19.5
696,3496,06085504102,1039,29.7,0.0,28.2,0.9,0.4,7.9,62.4,0.3,"San Jose, Alum Rock, Santa Clara County",14.3
697,2993,06085503313,1688,56.4,0.0,70.3,1.7,0.5,16.0,10.2,0.8,"San Jose, Santa Clara County",15.1
698,1960,06077002300,423,21.6,0.1,11.0,9.4,2.8,6.0,69.6,1.4,"Stockton, San Joaquin County",19.8
699,2712,06001423500,1365,50.3,0.0,11.6,10.4,0.5,58.1,14.7,4.9,"Berkeley, Alameda County",12.7
700,5805,06001423602,1090,18.8,0.6,27.0,1.9,0.0,51.4,12.9,5.9,"Berkeley, Alameda County",50.5
701,3223,06001427600,979,30.4,0.0,32.6,16.9,0.0,33.5,14.7,2.0,"Alameda, Alameda County",13.1
702,4935,06001433200,1539,31.2,0.0,42.4,13.1,0.2,13.8,22.1,8.2,"San Leandro, Alameda County",13.4
703,3082,06077003106,1506,48.9,0.0,9.4,3.8,0.0,50.0,34.3,2.5,"Stockton, San Joaquin County",7.2
704,3080,06001440307,1294,42.0,0.0,41.3,7.6,0.0,18.6,25.5,7.0,"Union City, Alameda County",6.7
705,5318,06085503315,1756,33.0,0.0,58.2,1.3,0.8,8.7,30.1,1.2,"San Jose, Evergreen, Santa Clara County",4.3
706,3445,06075012700,1600,46.4,0.0,3.9,1.8,0.0,81.6,8.5,4.1,San Francisco,5.6
707,3235,06075013200,2017,62.3,0.0,21.6,0.2,0.0,70.2,5.9,2.2,San Francisco,5.7
708,2853,06085503323,1387,48.6,0.0,57.8,1.8,0.0,10.8,28.8,0.8,"San Jose, Santa Clara County",4.9
709,2881,06075012100,897,31.1,0.0,23.1,5.7,0.0,52.8,14.2,4.4,"San Francisco, South of Market",11.1
710,2261,06075015100,1213,53.6,0.2,28.7,4.4,0.0,55.1,8.2,3.3,"San Francisco, Western Addition",7.2
711,3405,06085503321,1275,37.4,0.0,78.6,1.1,0.0,5.6,14.2,0.6,"San Jose, Santa Clara County",4.2
712,1145,06077001600,204,17.8,0.0,1.7,4.3,0.0,23.1,70.5,0.9,"Stockton, San Joaquin County",28.2
713,2164,06077001700,332,15.3,0.0,3.0,0.0,0.0,24.1,71.8,1.5,"August, Stockton, San Joaquin County",25.7
714,2672,06077001900,478,17.9,0.0,0.4,13.9,0.0,9.1,76.6,0.4,"Fair Oaks, Stockton, San Joaquin County",18.7
715,5479,06085504311,1843,33.6,1.5,78.2,0.8,0.0,11.4,6.2,1.7,"San Jose, Santa Clara County",9.6
716,3035,06085504314,1396,46.0,0.0,57.7,7.4,0.0,16.5,16.9,1.7,"San Jose, Berryessa, Santa Clara County",5.2
717,4618,06085504315,1831,39.6,0.2,65.9,1.2,0.0,14.5,15.5,2.7,"San Jose, Santa Clara County",6.4
718,2152,06077002000,472,21.9,0.0,0.0,8.9,0.5,10.5,79.1,1.0,"Stockton, San Joaquin County",27.2
719,2622,06077002100,653,24.9,0.0,11.3,21.1,0.0,9.5,56.0,2.1,"Stockton, San Joaquin County",31.6
720,4187,06001423400,2055,49.1,0.0,10.4,17.1,0.0,54.6,12.7,5.0,"Berkeley, Alameda County",14.6
721,3616,06075015900,1352,37.4,0.0,32.6,13.7,0.0,31.2,15.8,6.7,"San Francisco, Western Addition",15.6
722,2084,06075016000,1032,49.5,1.0,30.2,5.7,0.0,34.6,10.6,17.8,San Francisco,21.2
723,2768,06075016200,1244,44.9,0.4,25.1,6.3,0.1,58.7,6.8,2.9,San Francisco,10.6
724,2943,06075016300,1588,54.0,0.0,13.8,16.9,0.1,58.0,6.4,4.7,"San Francisco, Western Addition",11.9
725,3290,06075016400,1694,51.5,0.3,11.7,6.2,0.0,68.0,10.2,3.3,"San Francisco, Western Addition",6.9
726,3244,06075015500,1259,38.8,0.1,31.6,4.6,0.0,40.8,16.5,6.0,"San Francisco, Western Addition",18.0
727,2450,06075015600,1270,51.8,0.2,36.5,4.2,0.0,41.4,12.4,5.3,San Francisco,17.9
